donor_id,donor_type,food_type,category,quantity_kg,expiry_hours,lat,long,city,pickup_status,receiver_id,distance_km,pickup_time_hours,waste_risk,co2_per_kg,methane_factor,water_usage,uncertainty_factor
D014,supermarket,nasi goreng,fruit,21.3,17.0,-0.48887275123253,117.13394543498968,Samarinda,pending,Unknown,0.92,2.24,high,2.242,1.2075,2896.0,0.956
D015,restaurant,salad,karbohidrat,18.8,24.0,-0.484364198795231,117.15794193970277,Samarinda,failed,R15,3.9,2.72,low,1.595,1.25,2271.6,0.972
D016,supermarket,buah apel,fruit,20.6,46.0,-0.5093628621187548,117.14835803491484,Samarinda,completed,Unknown,5.42,2.04,medium,2.242,0.825,2755.5,1.13
D017,supermarket,roti tawar,vegetable,11.4,7.0,-0.4810792665050878,117.14461969041665,Samarinda,failed,R3,3.32,3.25,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D018,hotel,ayam goreng,protein,16.1,40.0,-0.5139111395660153,117.14155116895424,Samarinda,failed,R7,2.98,1.94,medium,4.82,0.18,962.0,1.025
D019,restaurant,buah apel,protein,24.0,24.0,-0.5127097871602999,117.16718325804828,Samarinda,failed,R20,2.06,3.09,low,2.242,0.825,2755.5,1.13
D020,restaurant,ayam goreng,karbohidrat,24.3,7.0,-0.5136434119840371,117.14215202392356,Samarinda,completed,R9,6.25,3.81,high,4.82,0.18,962.0,1.025
D021,supermarket,sayur sop,karbohidrat,16.1,28.0,-0.5111056101864264,117.1559408878522,Samarinda,pending,R1,2.87,3.93,low,1.34,0.91,2571.0,1.0266666666666666
D022,hotel,salad,karbohidrat,5.2,38.0,-0.5160120707860565,117.1658678701754,Samarinda,failed,R12,2.48,2.07,low,1.595,1.25,2271.6,0.972
D023,restaurant,roti tawar,vegetable,19.6,5.0,-0.4952691444604207,117.148060283915,Samarinda,completed,R4,1.09,0.55,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D024,hotel,salad,protein,19.2,10.0,-0.5003558786383241,117.15664815618746,Samarinda,completed,R20,5.51,2.51,medium,1.595,1.25,2271.6,0.972
D025,supermarket,buah apel,fruit,11.5,11.0,-0.5101400447300635,117.13236238614697,Samarinda,pending,R3,4.86,2.51,medium,2.242,0.825,2755.5,1.13
D026,supermarket,ayam goreng,protein,16.1,4.0,-0.496712827409236,117.16979682315558,Samarinda,failed,R7,4.59,2.23,medium,4.82,0.18,962.0,1.025
D027,supermarket,ayam goreng,vegetable,19.5,23.0,-0.5063755321802735,117.16658578543468,Samarinda,completed,Unknown,5.16,1.55,high,4.82,0.18,962.0,1.025
D028,hotel,roti tawar,vegetable,2.0,35.0,-0.5065732068705608,117.13529457403448,Samarinda,pending,Unknown,5.07,2.23,medium,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D029,supermarket,buah apel,protein,12.1,6.0,-0.5011325196616853,117.1391016098747,Samarinda,failed,R18,1.9,2.9,low,2.242,0.825,2755.5,1.13
D030,restaurant,ayam goreng,protein,16.1,24.0,-0.5025812143223635,117.16402248300712,Samarinda,pending,R14,6.94,1.81,medium,4.82,0.18,962.0,1.025
D031,hotel,nasi goreng,karbohidrat,20.5,46.0,-0.4871215633821175,117.1580953114303,Samarinda,pending,Unknown,1.74,1.37,low,2.242,1.2075,2896.0,0.956
D032,hotel,roti tawar,protein,10.0,2.0,-0.4934344363721336,117.16242140274946,Samarinda,completed,R9,2.52,2.23,low,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D033,restaurant,ayam goreng,karbohidrat,21.0,4.0,-0.507118542434799,117.14876021422286,Samarinda,pending,R18,3.64,1.03,high,4.82,0.18,962.0,1.025
D034,hotel,sayur sop,vegetable,30.0,42.0,-0.5020171739500877,117.14496866960556,Samarinda,failed,R20,2.93,1.37,high,1.34,0.91,2571.0,1.0266666666666666
D035,hotel,roti tawar,vegetable,25.3,6.0,-0.5066092951204504,117.15224215797288,Samarinda,completed,R6,5.5,2.56,low,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D036,restaurant,salad,vegetable,16.1,48.0,-0.4828989668510445,117.16837531241372,Samarinda,completed,R9,5.21,2.0,high,1.595,1.25,2271.6,0.972
D037,hotel,ayam bakar,vegetable,8.1,29.0,-0.5027208051309675,117.1303889226098,Samarinda,completed,R17,3.61,2.23,medium,4.98,0.61,4848.0,0.965
D038,restaurant,nasi goreng,protein,14.4,24.0,-0.4813458134466069,117.1429412143103,Samarinda,failed,R5,3.93,2.61,medium,2.242,1.2075,2896.0,0.956
D039,supermarket,salad,fruit,13.1,32.0,-0.4965691530826032,117.13772031338888,Samarinda,failed,R12,5.1,3.64,medium,1.595,1.25,2271.6,0.972
D040,hotel,sayur sop,fruit,14.3,42.0,-0.4966227902561934,117.13718466593456,Samarinda,completed,R8,3.17,0.55,low,1.34,0.91,2571.0,1.0266666666666666
D041,restaurant,roti tawar,karbohidrat,26.8,36.0,-0.5079372760415628,117.13321095260434,Samarinda,completed,R10,0.61,2.36,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D042,hotel,ayam goreng,karbohidrat,11.4,43.0,-0.5040084020883328,117.13883122858834,Samarinda,completed,R18,5.69,0.67,medium,4.82,0.18,962.0,1.025
D043,restaurant,salad,vegetable,6.8,14.0,-0.5088397378776591,117.16738920028142,Samarinda,pending,R12,0.55,3.95,high,1.595,1.25,2271.6,0.972
D044,supermarket,nasi goreng,protein,18.1,32.0,-0.4912190277299746,117.1570698497896,Samarinda,completed,R7,6.31,3.03,medium,2.242,1.2075,2896.0,0.956
D045,restaurant,salad,protein,16.3,27.0,-0.4945232501029173,117.15725494944635,Samarinda,pending,R5,5.54,1.34,medium,1.595,1.25,2271.6,0.972
D046,supermarket,buah apel,fruit,27.2,42.0,-0.4950708662635367,117.1556477901525,Samarinda,failed,R6,5.54,3.76,low,2.242,0.825,2755.5,1.13
D047,hotel,salad,protein,6.3,37.0,-0.4878879485890077,117.16202473156414,Samarinda,failed,R2,2.87,1.0,high,1.595,1.25,2271.6,0.972
D048,restaurant,nasi goreng,vegetable,14.9,41.0,-0.5110361653184624,117.1679587758284,Samarinda,failed,R16,4.83,3.53,high,2.242,1.2075,2896.0,0.956
D049,restaurant,buah apel,karbohidrat,28.7,24.0,-0.48937855011146,117.15540776853216,Samarinda,pending,R16,3.28,3.64,high,2.242,0.825,2755.5,1.13
D050,hotel,nasi goreng,fruit,29.8,23.0,-0.5119404036595832,117.16179090506792,Samarinda,failed,R13,6.67,2.23,medium,2.242,1.2075,2896.0,0.956
D051,restaurant,nasi putih,karbohidrat,5.5,5.0,-0.5035567558064361,117.16082211544676,Samarinda,pending,R6,2.19,2.15,low,2.5766666666666667,0.585,4120.666666666667,1.05
D052,hotel,ayam bakar,fruit,15.5,44.0,-0.5042589690237667,117.16776546589654,Samarinda,completed,R14,1.45,2.3,low,4.98,0.61,4848.0,0.965
D053,hotel,salad,protein,5.2,48.0,-0.496936453932748,117.14061693287526,Samarinda,pending,R17,2.26,3.91,low,1.595,1.25,2271.6,0.972
D054,supermarket,nasi goreng,vegetable,6.0,24.0,-0.5179324821110665,117.15546895832082,Samarinda,failed,R18,4.6,2.23,high,2.242,1.2075,2896.0,0.956
D055,supermarket,ayam goreng,karbohidrat,2.3,46.0,-0.4822298349533856,117.15112295833876,Samarinda,failed,R4,1.14,0.7,high,4.82,0.18,962.0,1.025
D056,supermarket,salad,protein,18.0,9.0,-0.5076000791456874,117.16545069761028,Samarinda,pending,R11,1.18,2.23,high,1.595,1.25,2271.6,0.972
D057,restaurant,sayur sop,fruit,8.6,25.0,-0.5066838700087477,117.14848197268832,Samarinda,completed,R14,6.87,1.07,high,1.34,0.91,2571.0,1.0266666666666666
D058,restaurant,roti tawar,protein,25.4,30.0,-0.48473603254077,117.13587343422716,Samarinda,failed,Unknown,1.02,3.11,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D059,restaurant,ayam bakar,protein,5.0,24.0,-0.5103172085736157,117.1698474807149,Samarinda,pending,R8,3.62,2.23,high,4.98,0.61,4848.0,0.965
D060,restaurant,buah apel,protein,7.4,37.0,-0.5012534826224464,117.16150984553924,Samarinda,pending,R19,3.56,1.28,medium,2.242,0.825,2755.5,1.13
D061,hotel,ayam bakar,vegetable,27.1,7.0,-0.5088569231593996,117.1312107441413,Samarinda,pending,R18,4.8,1.39,medium,4.98,0.61,4848.0,0.965
D062,hotel,ayam bakar,vegetable,11.2,21.0,-0.5089717643717957,117.15778150968426,Samarinda,completed,Unknown,3.71,3.29,medium,4.98,0.61,4848.0,0.965
D063,supermarket,buah apel,fruit,5.8,24.0,-0.4978030621161762,117.14363020401883,Samarinda,pending,R10,5.96,3.57,high,2.242,0.825,2755.5,1.13
D064,supermarket,ayam bakar,karbohidrat,8.4,4.0,-0.4902661747704195,117.16182558952586,Samarinda,pending,R19,6.92,1.06,medium,4.98,0.61,4848.0,0.965
D065,hotel,buah apel,vegetable,24.2,24.0,-0.4988284063432337,117.15524628296971,Samarinda,pending,R18,6.06,2.38,low,2.242,0.825,2755.5,1.13
D066,supermarket,salad,protein,2.2,25.0,-0.500042216390857,117.15644229299936,Samarinda,failed,R3,1.41,2.13,low,1.595,1.25,2271.6,0.972
D067,supermarket,salad,fruit,4.6,3.0,-0.5118462345072724,117.13815869340952,Samarinda,completed,R3,5.14,0.56,low,1.595,1.25,2271.6,0.972
D068,hotel,nasi putih,protein,13.5,24.0,-0.5079242164432615,117.15720123192514,Samarinda,failed,R18,0.93,2.23,medium,2.5766666666666667,0.585,4120.666666666667,1.05
D069,hotel,buah apel,protein,16.1,11.0,-0.5079395361955884,117.13076941632347,Samarinda,pending,Unknown,4.77,0.56,high,2.242,0.825,2755.5,1.13
D070,hotel,nasi goreng,vegetable,9.4,24.0,-0.4880628314728655,117.1646982925418,Samarinda,failed,R18,2.01,2.23,high,2.242,1.2075,2896.0,0.956
D071,hotel,nasi putih,protein,23.1,7.0,-0.5176087051867502,117.14525172090036,Samarinda,failed,R15,1.97,2.13,medium,2.5766666666666667,0.585,4120.666666666667,1.05
D072,hotel,roti tawar,protein,6.4,36.0,-0.5104480697488735,117.14369985766828,Samarinda,pending,R10,6.67,1.54,medium,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D073,restaurant,ayam bakar,protein,27.8,26.0,-0.4868688763350897,117.13971172845903,Samarinda,completed,R6,1.89,0.76,low,4.98,0.61,4848.0,0.965
D074,hotel,salad,fruit,28.3,5.0,-0.5038621693743318,117.13232447457628,Samarinda,completed,R18,1.25,3.35,low,1.595,1.25,2271.6,0.972
D075,hotel,ayam goreng,karbohidrat,8.7,43.0,-0.4827960093555123,117.14151497313168,Samarinda,pending,R16,3.58,2.23,high,4.82,0.18,962.0,1.025
D076,restaurant,nasi putih,fruit,21.6,39.0,-0.5191582344227952,117.13557496556784,Samarinda,failed,R3,2.61,2.2,low,2.5766666666666667,0.585,4120.666666666667,1.05
D077,supermarket,sayur sop,karbohidrat,20.9,38.0,-0.5045148890162768,117.16324171541352,Samarinda,completed,R19,3.49,2.97,medium,1.34,0.91,2571.0,1.0266666666666666
D078,supermarket,nasi putih,fruit,8.2,33.0,-0.5041975632553852,117.15710682459589,Samarinda,pending,R1,2.86,0.54,high,2.5766666666666667,0.585,4120.666666666667,1.05
D079,supermarket,buah apel,fruit,28.5,3.0,-0.519302114750867,117.15602322374444,Samarinda,completed,R17,4.05,2.23,medium,2.242,0.825,2755.5,1.13
D080,hotel,roti tawar,vegetable,16.5,33.0,-0.4961250315605016,117.15533368036576,Samarinda,pending,R4,4.42,2.23,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D081,hotel,buah apel,karbohidrat,22.3,24.0,-0.4995366732185342,117.14932258241684,Samarinda,pending,R6,1.86,2.12,medium,2.242,0.825,2755.5,1.13
D082,supermarket,nasi goreng,protein,9.8,26.0,-0.4992340966722301,117.147720061186,Samarinda,pending,R8,4.95,4.0,medium,2.242,1.2075,2896.0,0.956
D083,hotel,nasi putih,protein,25.4,47.0,-0.5105165997421486,117.14914998135364,Samarinda,pending,R11,4.47,2.56,high,2.5766666666666667,0.585,4120.666666666667,1.05
D084,supermarket,salad,vegetable,9.5,6.0,-0.4878543765842353,117.16544478616042,Samarinda,failed,R17,1.17,2.99,high,1.595,1.25,2271.6,0.972
D085,restaurant,ayam bakar,fruit,10.2,24.0,-0.4958070563228543,117.13591341635524,Samarinda,completed,R6,4.98,0.68,medium,4.98,0.61,4848.0,0.965
D086,restaurant,sayur sop,protein,17.7,24.0,-0.4862854070271366,117.14273381454004,Samarinda,failed,R16,4.07,3.7,medium,1.34,0.91,2571.0,1.0266666666666666
D087,restaurant,nasi putih,fruit,16.4,24.0,-0.5181998350483558,117.13169540974054,Samarinda,completed,R10,4.99,0.9,low,2.5766666666666667,0.585,4120.666666666667,1.05
D088,restaurant,ayam bakar,vegetable,29.1,3.0,-0.4901407445389503,117.16050709567352,Samarinda,completed,Unknown,1.76,1.15,high,4.98,0.61,4848.0,0.965
D089,supermarket,roti tawar,protein,2.0,3.0,-0.4973945900762869,117.145598667854,Samarinda,completed,R5,3.75,1.62,low,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D090,supermarket,nasi putih,karbohidrat,16.1,40.0,-0.5081824979183682,117.1564365600958,Samarinda,completed,R13,2.83,2.23,low,2.5766666666666667,0.585,4120.666666666667,1.05
D091,restaurant,nasi goreng,protein,22.4,25.0,-0.4820739281447743,117.15428934957409,Samarinda,completed,Unknown,5.89,2.93,low,2.242,1.2075,2896.0,0.956
D092,hotel,buah apel,vegetable,14.4,9.0,-0.5120613404435435,117.1444416659722,Samarinda,failed,Unknown,5.23,2.23,high,2.242,0.825,2755.5,1.13
D093,restaurant,ayam bakar,protein,6.0,24.0,-0.4994095501240687,117.16993739293072,Samarinda,pending,R18,5.65,2.23,low,4.98,0.61,4848.0,0.965
D094,restaurant,nasi putih,vegetable,24.1,13.0,-0.4805773300894372,117.1515482306806,Samarinda,failed,R20,4.16,2.32,medium,2.5766666666666667,0.585,4120.666666666667,1.05
D095,restaurant,ayam goreng,fruit,17.6,41.0,-0.4821395414826961,117.1622125497356,Samarinda,completed,Unknown,1.97,2.23,low,4.82,0.18,962.0,1.025
D096,supermarket,buah apel,fruit,17.5,39.0,-0.5125144419297277,117.14566943345488,Samarinda,pending,R8,2.3,1.87,low,2.242,0.825,2755.5,1.13
D097,hotel,ayam bakar,karbohidrat,6.8,18.0,-0.4803049060940495,117.16865617760232,Samarinda,completed,Unknown,3.62,1.73,low,4.98,0.61,4848.0,0.965
D098,restaurant,sayur sop,karbohidrat,13.6,24.0,-0.4875681029940125,117.15191477776352,Samarinda,pending,R6,0.97,1.07,low,1.34,0.91,2571.0,1.0266666666666666
D099,hotel,nasi putih,fruit,17.4,14.0,-0.4917091365923071,117.14375967801293,Samarinda,pending,Unknown,6.26,2.86,low,2.5766666666666667,0.585,4120.666666666667,1.05
D100,supermarket,buah apel,karbohidrat,13.6,24.0,-0.5154856980131749,117.16747834460308,Samarinda,failed,R9,4.65,1.63,high,2.242,0.825,2755.5,1.13
D101,supermarket,roti tawar,protein,21.0,8.0,-0.4967824331587159,117.15485401722756,Samarinda,failed,R11,6.73,2.43,medium,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D102,hotel,ayam bakar,vegetable,13.4,30.0,-0.4934887419710211,117.14015143042452,Samarinda,failed,R2,5.85,1.46,low,4.98,0.61,4848.0,0.965
D103,restaurant,salad,karbohidrat,8.6,12.0,-0.5040503105133066,117.1401716961432,Samarinda,pending,R20,5.4,0.66,low,1.595,1.25,2271.6,0.972
D104,hotel,roti tawar,fruit,23.8,39.0,-0.5088430982022559,117.13920600564396,Samarinda,completed,R18,1.44,2.02,medium,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D105,hotel,sayur sop,protein,14.9,1.0,-0.5198248779384562,117.13954853665916,Samarinda,pending,R4,2.02,2.23,low,1.34,0.91,2571.0,1.0266666666666666
D106,hotel,ayam bakar,protein,25.5,24.0,-0.4887064309215506,117.1641835979342,Samarinda,completed,R6,0.97,3.85,medium,4.98,0.61,4848.0,0.965
D107,hotel,nasi goreng,fruit,24.3,20.0,-0.5016871833737658,117.1693708796365,Samarinda,failed,R18,2.48,0.57,low,2.242,1.2075,2896.0,0.956
D108,restaurant,sayur sop,vegetable,5.0,24.0,-0.4928001405179881,117.1421431132994,Samarinda,completed,R8,2.27,1.4,high,1.34,0.91,2571.0,1.0266666666666666
D109,hotel,ayam bakar,fruit,8.1,7.0,-0.5121564948591618,117.14977801990376,Samarinda,pending,R9,5.75,2.23,medium,4.98,0.61,4848.0,0.965
D110,supermarket,nasi goreng,vegetable,3.2,24.0,-0.5062211653980777,117.1486912883687,Samarinda,pending,R13,3.15,1.12,high,2.242,1.2075,2896.0,0.956
D111,hotel,sayur sop,karbohidrat,7.3,48.0,-0.5092165562842729,117.13299699682908,Samarinda,failed,R20,1.28,2.89,low,1.34,0.91,2571.0,1.0266666666666666
D112,restaurant,sayur sop,fruit,18.3,33.0,-0.4972459682822178,117.14083674537564,Samarinda,pending,R16,2.53,2.23,low,1.34,0.91,2571.0,1.0266666666666666
D113,supermarket,nasi putih,protein,23.3,24.0,-0.5168694044833926,117.16681531056425,Samarinda,completed,R11,1.56,2.23,low,2.5766666666666667,0.585,4120.666666666667,1.05
D114,supermarket,ayam goreng,protein,4.8,1.0,-0.4880798436261528,117.1646040876599,Samarinda,completed,R19,3.61,2.23,high,4.82,0.18,962.0,1.025
D115,supermarket,ayam goreng,karbohidrat,9.6,24.0,-0.5094765783901324,117.15308671042762,Samarinda,completed,Unknown,5.79,0.93,low,4.82,0.18,962.0,1.025
D116,hotel,salad,karbohidrat,9.0,24.0,-0.4930900685146535,117.13027023782564,Samarinda,pending,R13,1.23,2.23,low,1.595,1.25,2271.6,0.972
D117,supermarket,nasi goreng,karbohidrat,14.4,14.0,-0.5029031680276456,117.1482053489846,Samarinda,pending,R9,0.93,2.23,low,2.242,1.2075,2896.0,0.956
D118,hotel,roti tawar,karbohidrat,7.4,28.0,-0.5123544079693376,117.1575603646057,Samarinda,pending,R18,2.43,0.91,low,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D119,hotel,salad,karbohidrat,10.2,29.0,-0.4981005325097096,117.15997061657151,Samarinda,completed,R5,6.33,3.37,high,1.595,1.25,2271.6,0.972
D120,restaurant,buah apel,karbohidrat,23.9,40.0,-0.4835325738827842,117.1572240149891,Samarinda,completed,R13,3.02,0.98,low,2.242,0.825,2755.5,1.13
D121,restaurant,ayam bakar,karbohidrat,16.1,44.0,-0.4995004757552889,117.13241078591965,Samarinda,completed,R9,1.46,2.25,low,4.98,0.61,4848.0,0.965
D122,hotel,nasi goreng,vegetable,2.3,41.0,-0.5057327971306872,117.14863316722588,Samarinda,pending,R10,5.47,2.23,low,2.242,1.2075,2896.0,0.956
D123,supermarket,buah apel,karbohidrat,5.6,36.0,-0.496502214580116,117.13464714378684,Samarinda,completed,R12,2.32,1.51,medium,2.242,0.825,2755.5,1.13
D124,restaurant,buah apel,karbohidrat,16.1,15.0,-0.5048655559321094,117.15304777421406,Samarinda,pending,R11,2.47,3.21,medium,2.242,0.825,2755.5,1.13
D125,supermarket,sayur sop,karbohidrat,21.9,34.0,-0.510010461960987,117.15369838844389,Samarinda,completed,Unknown,2.43,2.66,medium,1.34,0.91,2571.0,1.0266666666666666
D126,restaurant,nasi goreng,protein,13.4,37.0,-0.5181689007952243,117.16199836237465,Samarinda,failed,R15,1.08,3.29,high,2.242,1.2075,2896.0,0.956
D127,supermarket,buah apel,karbohidrat,16.1,25.0,-0.5080323082932799,117.14830101935712,Samarinda,pending,Unknown,0.7,2.23,low,2.242,0.825,2755.5,1.13
D128,restaurant,sayur sop,vegetable,8.9,9.0,-0.5192136995735507,117.16000811810926,Samarinda,pending,R11,6.52,2.23,high,1.34,0.91,2571.0,1.0266666666666666
D129,supermarket,nasi putih,vegetable,5.7,21.0,-0.4932195635730819,117.15416680471635,Samarinda,pending,R17,5.31,2.23,low,2.5766666666666667,0.585,4120.666666666667,1.05
D130,restaurant,roti tawar,protein,29.6,18.0,-0.5112177418945267,117.13850666661426,Samarinda,failed,R20,3.73,1.8,medium,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D131,supermarket,sayur sop,karbohidrat,27.9,38.0,-0.5028471736927265,117.14802598375428,Samarinda,failed,R13,6.38,3.76,medium,1.34,0.91,2571.0,1.0266666666666666
D132,restaurant,sayur sop,karbohidrat,11.2,48.0,-0.5080841428534689,117.13297479525372,Samarinda,pending,R7,2.06,0.62,medium,1.34,0.91,2571.0,1.0266666666666666
D133,supermarket,roti tawar,fruit,9.6,24.0,-0.5030085753236169,117.15740207692086,Samarinda,pending,Unknown,0.83,1.62,medium,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D134,hotel,roti tawar,vegetable,4.0,35.0,-0.4872015938466107,117.1636521757561,Samarinda,completed,R11,2.59,2.09,medium,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D135,restaurant,salad,protein,29.6,7.0,-0.5062767778794648,117.15035905847913,Samarinda,failed,R13,2.46,2.23,high,1.595,1.25,2271.6,0.972
D136,supermarket,nasi goreng,fruit,28.4,24.0,-0.5158745140172518,117.1686926424108,Samarinda,completed,R4,6.33,1.23,high,2.242,1.2075,2896.0,0.956
D137,hotel,salad,vegetable,23.7,3.0,-0.4809715740093107,117.16785647051488,Samarinda,completed,Unknown,0.82,2.02,high,1.595,1.25,2271.6,0.972
D138,restaurant,sayur sop,protein,24.0,29.0,-0.4966340169977771,117.14243706935775,Samarinda,pending,R19,6.27,3.24,high,1.34,0.91,2571.0,1.0266666666666666
D139,supermarket,ayam bakar,karbohidrat,2.3,19.0,-0.4982758128373349,117.13549034787324,Samarinda,failed,R6,1.84,3.38,low,4.98,0.61,4848.0,0.965
D140,supermarket,sayur sop,fruit,28.7,24.0,-0.5192951750650183,117.14168039111205,Samarinda,failed,R10,3.67,2.44,medium,1.34,0.91,2571.0,1.0266666666666666
D141,supermarket,nasi goreng,vegetable,25.2,43.0,-0.503447196744759,117.14321425549842,Samarinda,failed,R2,3.35,2.29,high,2.242,1.2075,2896.0,0.956
D142,hotel,ayam bakar,vegetable,5.6,47.0,-0.4821297359893465,117.164657982418,Samarinda,completed,R18,1.43,2.0,high,4.98,0.61,4848.0,0.965
D143,supermarket,salad,vegetable,4.6,48.0,-0.4921104011943741,117.13118238365011,Samarinda,pending,R7,4.57,0.96,low,1.595,1.25,2271.6,0.972
D144,supermarket,sayur sop,fruit,11.5,42.0,-0.496359838394678,117.16243384688777,Samarinda,pending,R14,4.2,0.51,low,1.34,0.91,2571.0,1.0266666666666666
D145,restaurant,ayam bakar,vegetable,2.5,40.0,-0.4871607369437259,117.1526633547945,Samarinda,pending,R11,5.55,0.75,medium,4.98,0.61,4848.0,0.965
D146,restaurant,ayam goreng,protein,4.9,24.0,-0.4996322172179504,117.14683128605267,Samarinda,failed,R11,2.37,3.86,medium,4.82,0.18,962.0,1.025
D147,restaurant,ayam bakar,karbohidrat,17.8,42.0,-0.4931677520644165,117.13757602234098,Samarinda,completed,R14,0.8,2.23,high,4.98,0.61,4848.0,0.965
D148,supermarket,nasi goreng,protein,19.8,26.0,-0.5173410961348244,117.14715102127448,Samarinda,pending,R4,2.02,2.23,high,2.242,1.2075,2896.0,0.956
D149,hotel,ayam bakar,fruit,5.1,10.0,-0.48267465776043,117.15949237833564,Samarinda,completed,R14,2.98,1.09,low,4.98,0.61,4848.0,0.965
D150,hotel,salad,protein,10.0,43.0,-0.4866531550816698,117.16702553177812,Samarinda,failed,R7,1.14,3.88,low,1.595,1.25,2271.6,0.972
D151,restaurant,nasi putih,vegetable,2.1,38.0,-0.5127569664920615,117.15624290420836,Samarinda,pending,R4,1.6,2.23,low,2.5766666666666667,0.585,4120.666666666667,1.05
D152,supermarket,ayam bakar,protein,12.3,12.0,-0.4935600424837151,117.15506925970313,Samarinda,completed,Unknown,4.78,2.23,high,4.98,0.61,4848.0,0.965
D153,restaurant,nasi goreng,protein,16.1,43.0,-0.4814231498872908,117.13343783193284,Samarinda,completed,R6,5.47,0.59,low,2.242,1.2075,2896.0,0.956
D154,hotel,ayam bakar,vegetable,2.9,26.0,-0.4846543307027356,117.15833360370392,Samarinda,failed,R10,2.26,2.23,high,4.98,0.61,4848.0,0.965
D155,hotel,ayam bakar,protein,21.2,33.0,-0.5054435251457903,117.1333881976941,Samarinda,pending,R7,0.67,1.03,high,4.98,0.61,4848.0,0.965
D156,supermarket,nasi putih,fruit,18.3,45.0,-0.4871949955693105,117.1594103338953,Samarinda,pending,R12,0.85,1.55,high,2.5766666666666667,0.585,4120.666666666667,1.05
D157,supermarket,roti tawar,fruit,16.1,7.0,-0.5172091507786185,117.16726607662952,Samarinda,completed,R2,1.24,3.88,low,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
