question,answer,category
Mungkinkah pengguna individu bisa mendonasikan makanan?,"Saat ini sistem difokuskan untuk bisnis seperti restoran, hotel, dan supermarket.",donasi
Apakah pengguna individu bisa mendonasikan donasi?,"Saat ini sistem difokuskan untuk bisnis seperti restoran, hotel, dan supermarket.",donasi
Apakah pengguna individu bisa mendonasikan surplus makanan?,"Saat ini sistem difokuskan untuk bisnis seperti restoran, hotel, dan supermarket.",donasi
Apakah perorangan bisa berdonasi?,Saat ini sistem masih difokuskan untuk mitra bisnis.,donasi
Apa perorangan bisa berdonasi?,Saat ini sistem masih difokuskan untuk mitra bisnis.,donasi
Bisakah perorangan bisa berdonasi?,Saat ini sistem masih difokuskan untuk mitra bisnis.,donasi
Mungkinkah perorangan bisa berdonasi?,Saat ini sistem masih difokuskan untuk mitra bisnis.,donasi
Apakah makanan sisa pelanggan boleh didonasikan?,Tidak. Sistem hanya menerima makanan layak konsumsi dan belum tersentuh.,donasi
Apa makanan sisa pelanggan boleh didonasikan?,Tidak. Sistem hanya menerima makanan layak konsumsi dan belum tersentuh.,donasi
Bisakah makanan sisa pelanggan boleh didonasikan?,Tidak. Sistem hanya menerima makanan layak konsumsi dan belum tersentuh.,donasi
Mungkinkah makanan sisa pelanggan boleh didonasikan?,Tidak. Sistem hanya menerima makanan layak konsumsi dan belum tersentuh.,donasi
Apakah donasi sisa pelanggan boleh didonasikan?,Tidak. Sistem hanya menerima makanan layak konsumsi dan belum tersentuh.,donasi
Apakah surplus makanan sisa pelanggan boleh didonasikan?,Tidak. Sistem hanya menerima makanan layak konsumsi dan belum tersentuh.,donasi
Apakah makanan bekas pelanggan bisa didonasikan?,"Tidak, makanan harus dalam kondisi layak dan aman.",donasi
Apa makanan bekas pelanggan bisa didonasikan?,"Tidak, makanan harus dalam kondisi layak dan aman.",donasi
Bisakah makanan bekas pelanggan bisa didonasikan?,"Tidak, makanan harus dalam kondisi layak dan aman.",donasi
Mungkinkah makanan bekas pelanggan bisa didonasikan?,"Tidak, makanan harus dalam kondisi layak dan aman.",donasi
Apakah donasi bekas pelanggan bisa didonasikan?,"Tidak, makanan harus dalam kondisi layak dan aman.",donasi
Apakah surplus makanan bekas pelanggan bisa didonasikan?,"Tidak, makanan harus dalam kondisi layak dan aman.",donasi
Jenis makanan apa yang dapat didonasikan?,"Makanan surplus seperti roti, bahan mentah, dan makanan siap konsumsi dapat didonasikan.",donasi
Jenis donasi apa yang dapat didonasikan?,"Makanan surplus seperti roti, bahan mentah, dan makanan siap konsumsi dapat didonasikan.",donasi
Jenis surplus makanan apa yang dapat didonasikan?,"Makanan surplus seperti roti, bahan mentah, dan makanan siap konsumsi dapat didonasikan.",donasi
Makanan apa saja yang bisa didonasikan?,Makanan layak konsumsi dan masih aman dapat didonasikan.,donasi
Donasi apa saja yang bisa didonasikan?,Makanan layak konsumsi dan masih aman dapat didonasikan.,donasi
Surplus makanan apa saja yang bisa didonasikan?,Makanan layak konsumsi dan masih aman dapat didonasikan.,donasi
Apakah makanan prasmanan bisa didonasikan?,"Ya, selama makanan masih layak konsumsi.",donasi
Apa makanan prasmanan bisa didonasikan?,"Ya, selama makanan masih layak konsumsi.",donasi
Bisakah makanan prasmanan bisa didonasikan?,"Ya, selama makanan masih layak konsumsi.",donasi
Mungkinkah makanan prasmanan bisa didonasikan?,"Ya, selama makanan masih layak konsumsi.",donasi
Apakah donasi prasmanan bisa didonasikan?,"Ya, selama makanan masih layak konsumsi.",donasi
Apakah surplus makanan prasmanan bisa didonasikan?,"Ya, selama makanan masih layak konsumsi.",donasi
Apakah makanan buffet boleh didonasikan?,"Ya, selama makanan masih aman dan belum terkontaminasi.",donasi
Apa makanan buffet boleh didonasikan?,"Ya, selama makanan masih aman dan belum terkontaminasi.",donasi
Bisakah makanan buffet boleh didonasikan?,"Ya, selama makanan masih aman dan belum terkontaminasi.",donasi
Mungkinkah makanan buffet boleh didonasikan?,"Ya, selama makanan masih aman dan belum terkontaminasi.",donasi
Apakah donasi buffet boleh didonasikan?,"Ya, selama makanan masih aman dan belum terkontaminasi.",donasi
Apakah surplus makanan buffet boleh didonasikan?,"Ya, selama makanan masih aman dan belum terkontaminasi.",donasi
Apakah FoodRescue menyediakan kurir pengiriman?,Tidak. Distribusi dilakukan oleh relawan atau yayasan melalui self-pickup.,distribusi
Apa foodrescue menyediakan kurir pengiriman?,Tidak. Distribusi dilakukan oleh relawan atau yayasan melalui self-pickup.,distribusi
Bisakah foodrescue menyediakan kurir pengiriman?,Tidak. Distribusi dilakukan oleh relawan atau yayasan melalui self-pickup.,distribusi
Mungkinkah foodrescue menyediakan kurir pengiriman?,Tidak. Distribusi dilakukan oleh relawan atau yayasan melalui self-pickup.,distribusi
Siapa yang mengantar makanan?,Distribusi dilakukan oleh relawan atau pihak penerima.,distribusi
Siapa yang mengantar donasi?,Distribusi dilakukan oleh relawan atau pihak penerima.,distribusi
Siapa yang mengantar surplus makanan?,Distribusi dilakukan oleh relawan atau pihak penerima.,distribusi
Bagaimana distribusi makanan dilakukan?,Distribusi dilakukan melalui relawan atau proses self-pickup.,distribusi
Gimana distribusi makanan dilakukan?,Distribusi dilakukan melalui relawan atau proses self-pickup.,distribusi
Cara distribusi makanan dilakukan?,Distribusi dilakukan melalui relawan atau proses self-pickup.,distribusi
Proses distribusi makanan dilakukan?,Distribusi dilakukan melalui relawan atau proses self-pickup.,distribusi
Langkah distribusi makanan dilakukan?,Distribusi dilakukan melalui relawan atau proses self-pickup.,distribusi
Bagaimana distribusi donasi dilakukan?,Distribusi dilakukan melalui relawan atau proses self-pickup.,distribusi
Bagaimana distribusi surplus makanan dilakukan?,Distribusi dilakukan melalui relawan atau proses self-pickup.,distribusi
Bagaimana pengiriman makanan dilakukan?,Distribusi dilakukan melalui relawan atau proses self-pickup.,distribusi
Bagaimana penyaluran makanan dilakukan?,Distribusi dilakukan melalui relawan atau proses self-pickup.,distribusi
Bagaimana makanan disalurkan?,Makanan akan disalurkan kepada penerima melalui relawan atau yayasan.,distribusi
Gimana makanan disalurkan?,Makanan akan disalurkan kepada penerima melalui relawan atau yayasan.,distribusi
Cara makanan disalurkan?,Makanan akan disalurkan kepada penerima melalui relawan atau yayasan.,distribusi
Proses makanan disalurkan?,Makanan akan disalurkan kepada penerima melalui relawan atau yayasan.,distribusi
Langkah makanan disalurkan?,Makanan akan disalurkan kepada penerima melalui relawan atau yayasan.,distribusi
Bagaimana donasi disalurkan?,Makanan akan disalurkan kepada penerima melalui relawan atau yayasan.,distribusi
Bagaimana surplus makanan disalurkan?,Makanan akan disalurkan kepada penerima melalui relawan atau yayasan.,distribusi
Bagaimana proses distribusi donasi?,Distribusi dilakukan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Gimana proses distribusi donasi?,Distribusi dilakukan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Cara proses distribusi donasi?,Distribusi dilakukan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Proses proses distribusi donasi?,Distribusi dilakukan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Langkah proses distribusi donasi?,Distribusi dilakukan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Bagaimana proses pengiriman donasi?,Distribusi dilakukan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Bagaimana proses penyaluran donasi?,Distribusi dilakukan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Bagaimana pengiriman makanan dilakukan?,Pengiriman dilakukan melalui relawan atau pihak penerima.,distribusi
Gimana pengiriman makanan dilakukan?,Pengiriman dilakukan melalui relawan atau pihak penerima.,distribusi
Cara pengiriman makanan dilakukan?,Pengiriman dilakukan melalui relawan atau pihak penerima.,distribusi
Proses pengiriman makanan dilakukan?,Pengiriman dilakukan melalui relawan atau pihak penerima.,distribusi
Langkah pengiriman makanan dilakukan?,Pengiriman dilakukan melalui relawan atau pihak penerima.,distribusi
Bagaimana pengiriman donasi dilakukan?,Pengiriman dilakukan melalui relawan atau pihak penerima.,distribusi
Bagaimana pengiriman surplus makanan dilakukan?,Pengiriman dilakukan melalui relawan atau pihak penerima.,distribusi
Berapa radius distribusi makanan pada sistem?,Sistem menggunakan radius distribusi sekitar 3–5 km.,distribusi
Berapa radius distribusi donasi pada sistem?,Sistem menggunakan radius distribusi sekitar 3–5 km.,distribusi
Berapa radius distribusi surplus makanan pada sistem?,Sistem menggunakan radius distribusi sekitar 3–5 km.,distribusi
Berapa radius pengiriman makanan pada sistem?,Sistem menggunakan radius distribusi sekitar 3–5 km.,distribusi
Berapa radius penyaluran makanan pada sistem?,Sistem menggunakan radius distribusi sekitar 3–5 km.,distribusi
Seberapa jauh distribusi makanan dilakukan?,Distribusi umumnya dilakukan dalam radius sekitar 3–5 km.,distribusi
Seberapa jauh distribusi donasi dilakukan?,Distribusi umumnya dilakukan dalam radius sekitar 3–5 km.,distribusi
Seberapa jauh distribusi surplus makanan dilakukan?,Distribusi umumnya dilakukan dalam radius sekitar 3–5 km.,distribusi
Seberapa jauh pengiriman makanan dilakukan?,Distribusi umumnya dilakukan dalam radius sekitar 3–5 km.,distribusi
Seberapa jauh penyaluran makanan dilakukan?,Distribusi umumnya dilakukan dalam radius sekitar 3–5 km.,distribusi
Apakah semua makanan langsung tersedia untuk distribusi?,Makanan akan ditinjau terlebih dahulu sesuai panduan sistem.,distribusi
Apa semua makanan langsung tersedia untuk distribusi?,Makanan akan ditinjau terlebih dahulu sesuai panduan sistem.,distribusi
Bisakah semua makanan langsung tersedia untuk distribusi?,Makanan akan ditinjau terlebih dahulu sesuai panduan sistem.,distribusi
Mungkinkah semua makanan langsung tersedia untuk distribusi?,Makanan akan ditinjau terlebih dahulu sesuai panduan sistem.,distribusi
Apakah semua donasi langsung tersedia untuk distribusi?,Makanan akan ditinjau terlebih dahulu sesuai panduan sistem.,distribusi
Apakah semua surplus makanan langsung tersedia untuk distribusi?,Makanan akan ditinjau terlebih dahulu sesuai panduan sistem.,distribusi
Apakah semua makanan langsung tersedia untuk pengiriman?,Makanan akan ditinjau terlebih dahulu sesuai panduan sistem.,distribusi
Apakah semua makanan langsung tersedia untuk penyaluran?,Makanan akan ditinjau terlebih dahulu sesuai panduan sistem.,distribusi
Bagaimana sistem menentukan prioritas distribusi?,Distribusi diprioritaskan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Gimana sistem menentukan prioritas distribusi?,Distribusi diprioritaskan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Cara sistem menentukan prioritas distribusi?,Distribusi diprioritaskan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Proses sistem menentukan prioritas distribusi?,Distribusi diprioritaskan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Langkah sistem menentukan prioritas distribusi?,Distribusi diprioritaskan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Bagaimana sistem menentukan prioritas pengiriman?,Distribusi diprioritaskan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Bagaimana sistem menentukan prioritas penyaluran?,Distribusi diprioritaskan berdasarkan lokasi dan ketersediaan makanan.,distribusi
Apa yang menentukan prioritas distribusi?,Sistem mempertimbangkan lokasi dan kondisi makanan.,distribusi
Apa yang menentukan prioritas pengiriman?,Sistem mempertimbangkan lokasi dan kondisi makanan.,distribusi
Apa yang menentukan prioritas penyaluran?,Sistem mempertimbangkan lokasi dan kondisi makanan.,distribusi
Bagaimana sistem menjaga transparansi distribusi?,Sistem menggunakan bukti pengambilan makanan dan monitoring distribusi.,monitoring
Gimana sistem menjaga transparansi distribusi?,Sistem menggunakan bukti pengambilan makanan dan monitoring distribusi.,monitoring
Cara sistem menjaga transparansi distribusi?,Sistem menggunakan bukti pengambilan makanan dan monitoring distribusi.,monitoring
Proses sistem menjaga transparansi distribusi?,Sistem menggunakan bukti pengambilan makanan dan monitoring distribusi.,monitoring
Langkah sistem menjaga transparansi distribusi?,Sistem menggunakan bukti pengambilan makanan dan monitoring distribusi.,monitoring
Bagaimana sistem menjaga transparansi pengiriman?,Sistem menggunakan bukti pengambilan makanan dan monitoring distribusi.,monitoring
Bagaimana sistem menjaga transparansi penyaluran?,Sistem menggunakan bukti pengambilan makanan dan monitoring distribusi.,monitoring
Apakah distribusi makanan dapat dipantau?,"Ya, sistem menyediakan monitoring distribusi.",monitoring
Apa distribusi makanan dapat dipantau?,"Ya, sistem menyediakan monitoring distribusi.",monitoring
Bisakah distribusi makanan dapat dipantau?,"Ya, sistem menyediakan monitoring distribusi.",monitoring
Mungkinkah distribusi makanan dapat dipantau?,"Ya, sistem menyediakan monitoring distribusi.",monitoring
Apakah distribusi donasi dapat dipantau?,"Ya, sistem menyediakan monitoring distribusi.",monitoring
Apakah distribusi surplus makanan dapat dipantau?,"Ya, sistem menyediakan monitoring distribusi.",monitoring
Apakah pengiriman makanan dapat dipantau?,"Ya, sistem menyediakan monitoring distribusi.",monitoring
Apakah penyaluran makanan dapat dipantau?,"Ya, sistem menyediakan monitoring distribusi.",monitoring
Apakah tersedia fitur live tracking pengiriman?,Saat ini sistem belum menyediakan fitur live tracking.,monitoring
Apa tersedia fitur live tracking pengiriman?,Saat ini sistem belum menyediakan fitur live tracking.,monitoring
Bisakah tersedia fitur live tracking pengiriman?,Saat ini sistem belum menyediakan fitur live tracking.,monitoring
Mungkinkah tersedia fitur live tracking pengiriman?,Saat ini sistem belum menyediakan fitur live tracking.,monitoring
Bisakah saya melacak pengiriman makanan?,Saat ini fitur live tracking belum tersedia.,monitoring
Bisakah saya melacak pengiriman donasi?,Saat ini fitur live tracking belum tersedia.,monitoring
Bisakah saya melacak pengiriman surplus makanan?,Saat ini fitur live tracking belum tersedia.,monitoring
Apakah donatur dapat melihat riwayat distribusi?,Ya. Sistem menyediakan monitoring distribusi makanan.,monitoring
Apa donatur dapat melihat riwayat distribusi?,Ya. Sistem menyediakan monitoring distribusi makanan.,monitoring
Bisakah donatur dapat melihat riwayat distribusi?,Ya. Sistem menyediakan monitoring distribusi makanan.,monitoring
Mungkinkah donatur dapat melihat riwayat distribusi?,Ya. Sistem menyediakan monitoring distribusi makanan.,monitoring
Apakah donatur dapat melihat riwayat pengiriman?,Ya. Sistem menyediakan monitoring distribusi makanan.,monitoring
Apakah donatur dapat melihat riwayat penyaluran?,Ya. Sistem menyediakan monitoring distribusi makanan.,monitoring
Apakah riwayat distribusi bisa dilihat?,"Ya, riwayat distribusi tersedia pada dashboard.",monitoring
Apa riwayat distribusi bisa dilihat?,"Ya, riwayat distribusi tersedia pada dashboard.",monitoring
Bisakah riwayat distribusi bisa dilihat?,"Ya, riwayat distribusi tersedia pada dashboard.",monitoring
Mungkinkah riwayat distribusi bisa dilihat?,"Ya, riwayat distribusi tersedia pada dashboard.",monitoring
Apakah riwayat pengiriman bisa dilihat?,"Ya, riwayat distribusi tersedia pada dashboard.",monitoring
Apakah riwayat penyaluran bisa dilihat?,"Ya, riwayat distribusi tersedia pada dashboard.",monitoring
Apakah FoodRescue bertanggung jawab jika makanan rusak setelah diterima?,Tidak. Pengguna wajib mengikuti instruksi penyimpanan makanan.,keamanan
Apa foodrescue bertanggung jawab jika makanan rusak setelah diterima?,Tidak. Pengguna wajib mengikuti instruksi penyimpanan makanan.,keamanan
Bisakah foodrescue bertanggung jawab jika makanan rusak setelah diterima?,Tidak. Pengguna wajib mengikuti instruksi penyimpanan makanan.,keamanan
Mungkinkah foodrescue bertanggung jawab jika makanan rusak setelah diterima?,Tidak. Pengguna wajib mengikuti instruksi penyimpanan makanan.,keamanan
Apakah foodrescue bertanggung jawab jika donasi rusak setelah diterima?,Tidak. Pengguna wajib mengikuti instruksi penyimpanan makanan.,keamanan
Apakah foodrescue bertanggung jawab jika surplus makanan rusak setelah diterima?,Tidak. Pengguna wajib mengikuti instruksi penyimpanan makanan.,keamanan
Bagaimana keamanan makanan dijaga?,Makanan harus memenuhi standar kelayakan sebelum distribusi.,keamanan
Gimana keamanan makanan dijaga?,Makanan harus memenuhi standar kelayakan sebelum distribusi.,keamanan
Cara keamanan makanan dijaga?,Makanan harus memenuhi standar kelayakan sebelum distribusi.,keamanan
Proses keamanan makanan dijaga?,Makanan harus memenuhi standar kelayakan sebelum distribusi.,keamanan
Langkah keamanan makanan dijaga?,Makanan harus memenuhi standar kelayakan sebelum distribusi.,keamanan
Bagaimana keamanan donasi dijaga?,Makanan harus memenuhi standar kelayakan sebelum distribusi.,keamanan
Bagaimana keamanan surplus makanan dijaga?,Makanan harus memenuhi standar kelayakan sebelum distribusi.,keamanan
Apakah data pengguna aman di FoodRescue?,Sistem berupaya menjaga keamanan data pengguna.,keamanan
Apa data pengguna aman di foodrescue?,Sistem berupaya menjaga keamanan data pengguna.,keamanan
Bisakah data pengguna aman di foodrescue?,Sistem berupaya menjaga keamanan data pengguna.,keamanan
Mungkinkah data pengguna aman di foodrescue?,Sistem berupaya menjaga keamanan data pengguna.,keamanan
Apakah informasi akun saya aman?,Sistem menjaga keamanan data dan dokumen pengguna.,keamanan
Apa informasi akun saya aman?,Sistem menjaga keamanan data dan dokumen pengguna.,keamanan
Bisakah informasi akun saya aman?,Sistem menjaga keamanan data dan dokumen pengguna.,keamanan
Mungkinkah informasi akun saya aman?,Sistem menjaga keamanan data dan dokumen pengguna.,keamanan
Apakah FoodRescue dapat menghitung dampak lingkungan?,Ya. Sistem menghitung estimasi pengurangan emisi CO2 dan metana.,lingkungan
Apa foodrescue dapat menghitung dampak lingkungan?,Ya. Sistem menghitung estimasi pengurangan emisi CO2 dan metana.,lingkungan
Bisakah foodrescue dapat menghitung dampak lingkungan?,Ya. Sistem menghitung estimasi pengurangan emisi CO2 dan metana.,lingkungan
Mungkinkah foodrescue dapat menghitung dampak lingkungan?,Ya. Sistem menghitung estimasi pengurangan emisi CO2 dan metana.,lingkungan
Apakah sistem dapat menghitung emisi CO2?,"Ya, sistem menghitung estimasi pengurangan emisi.",lingkungan
Apa sistem dapat menghitung emisi co2?,"Ya, sistem menghitung estimasi pengurangan emisi.",lingkungan
Bisakah sistem dapat menghitung emisi co2?,"Ya, sistem menghitung estimasi pengurangan emisi.",lingkungan
Mungkinkah sistem dapat menghitung emisi co2?,"Ya, sistem menghitung estimasi pengurangan emisi.",lingkungan
Apakah pengguna dapat melihat estimasi emisi yang berhasil dikurangi?,Ya. Dashboard sistem menampilkan estimasi dampak lingkungan.,lingkungan
